"record_id","record_slug","metric_key","metric_label","value_label","evidence_level","disclosure_state","applicability_reason"
"HU-R001","figure-02-bmw","runtime_hours","Runtime hours","1,250+ hours","operator","known",""
"HU-R001","figure-02-bmw","availability","Availability / uptime","Not disclosed","unknown","unknown",""
"HU-R001","figure-02-bmw","interventions","Human interventions","Logged, not published","unknown","unknown",""
"HU-R001","figure-02-bmw","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R001","figure-02-bmw","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R001","figure-02-bmw","task_output","Task output","90,000+ parts","operator","known",""
"HU-R001","figure-02-bmw","energy_operation","Energy / charging","Not disclosed","unknown","unknown",""
"HU-R001","figure-02-bmw","autonomy_mode","Autonomy mode","Claimed; share unknown","manufacturer","known",""
"HU-R001","figure-02-bmw","fleet_size","Fleet size","Not disclosed","unknown","unknown",""
"HU-R002","digit-gxo","runtime_hours","Runtime hours","Not disclosed","unknown","unknown",""
"HU-R002","digit-gxo","availability","Availability / uptime","Not disclosed","unknown","unknown",""
"HU-R002","digit-gxo","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R002","digit-gxo","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R002","digit-gxo","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R002","digit-gxo","task_output","Task output","100,000+ totes","manufacturer","known",""
"HU-R002","digit-gxo","energy_operation","Energy / charging","Not disclosed","unknown","unknown",""
"HU-R002","digit-gxo","autonomy_mode","Autonomy mode","Asserted; share unknown","manufacturer","known",""
"HU-R002","digit-gxo","fleet_size","Fleet size","Not disclosed","unknown","unknown",""
"HU-R003","walker-s2-continuous-operation","runtime_hours","Runtime hours","Not disclosed","unknown","unknown",""
"HU-R003","walker-s2-continuous-operation","availability","Availability / uptime","24/7 claim only","claim","known",""
"HU-R003","walker-s2-continuous-operation","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R003","walker-s2-continuous-operation","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R003","walker-s2-continuous-operation","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R003","walker-s2-continuous-operation","task_output","Task output","Not disclosed","unknown","unknown",""
"HU-R003","walker-s2-continuous-operation","energy_operation","Energy / charging","3 min swap claim","manufacturer","known",""
"HU-R003","walker-s2-continuous-operation","autonomy_mode","Autonomy mode","Maker reported","manufacturer","known",""
"HU-R003","walker-s2-continuous-operation","fleet_size","Fleet size","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","runtime_hours","Runtime hours","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","availability","Availability / uptime","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","task_output","Task output","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","energy_operation","Energy / charging","Not disclosed","unknown","unknown",""
"HU-R004","figure-03-bmw","autonomy_mode","Autonomy mode","Maker reported","manufacturer","known",""
"HU-R004","figure-03-bmw","fleet_size","Fleet size","Not disclosed","unknown","unknown",""
"HU-R005","unitree-g1-fraunhofer-ipa","runtime_hours","Runtime hours","Total test hours not disclosed","unknown","unknown",""
"HU-R005","unitree-g1-fraunhofer-ipa","availability","Availability / uptime","Not applicable to this lab benchmark","unknown","not_applicable","The benchmark consists of separate laboratory scenarios and defines no scheduled operating window. This applies only to the bounded test record; availability in a field deployment remains unknown."
"HU-R005","unitree-g1-fraunhofer-ipa","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R005","unitree-g1-fraunhofer-ipa","mtbf","MTBF","Not measured","unknown","unknown",""
"HU-R005","unitree-g1-fraunhofer-ipa","mttr","MTTR","Not measured","unknown","unknown",""
"HU-R005","unitree-g1-fraunhofer-ipa","task_output","Task output","No production task","unknown","unknown",""
"HU-R005","unitree-g1-fraunhofer-ipa","energy_operation","Energy / charging","1:49 scenario / 239 W","independent","known",""
"HU-R005","unitree-g1-fraunhofer-ipa","autonomy_mode","Autonomy mode","Teleoperated baseline","independent","known",""
"HU-R005","unitree-g1-fraunhofer-ipa","fleet_size","Fleet size","1 test unit","independent","known",""
"HU-R006","hmnd-01-siemens-erlangen","runtime_hours","Runtime hours",">8 h reported; scope unclear","operator","known",""
"HU-R006","hmnd-01-siemens-erlangen","availability","Availability / uptime","No scheduled-time denominator","unknown","unknown",""
"HU-R006","hmnd-01-siemens-erlangen","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R006","hmnd-01-siemens-erlangen","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R006","hmnd-01-siemens-erlangen","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R006","hmnd-01-siemens-erlangen","task_output","Task output","60 moves/h; >90% autonomous","operator","known",""
"HU-R006","hmnd-01-siemens-erlangen","energy_operation","Energy / charging","Not disclosed for POC","unknown","unknown",""
"HU-R006","hmnd-01-siemens-erlangen","autonomy_mode","Autonomy mode","Autonomous task execution","operator","known",""
"HU-R006","hmnd-01-siemens-erlangen","fleet_size","Fleet size","1 robot described","operator","known",""
"HU-R007","sanctuary-canadian-tire","runtime_hours","Runtime hours","Not disclosed","unknown","unknown",""
"HU-R007","sanctuary-canadian-tire","availability","Availability / uptime","Not disclosed","unknown","unknown",""
"HU-R007","sanctuary-canadian-tire","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R007","sanctuary-canadian-tire","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R007","sanctuary-canadian-tire","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R007","sanctuary-canadian-tire","task_output","Task output","110 tasks reported correct","manufacturer","known",""
"HU-R007","sanctuary-canadian-tire","energy_operation","Energy / charging","Not disclosed","unknown","unknown",""
"HU-R007","sanctuary-canadian-tire","autonomy_mode","Autonomy mode","Pilot mode not disclosed","unknown","unknown",""
"HU-R007","sanctuary-canadian-tire","fleet_size","Fleet size","1 robot described","manufacturer","known",""
"HU-R008","digit-schaeffler-cheraw","runtime_hours","Runtime hours","No cumulative operating hours","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","availability","Availability / uptime","No scheduled-time denominator","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","task_output","Task output","No cycle count or success rate","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","energy_operation","Energy / charging","No charge/runtime record","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","autonomy_mode","Autonomy mode","Task-level mode not disclosed","unknown","unknown",""
"HU-R008","digit-schaeffler-cheraw","fleet_size","Fleet size","1 site unit described; total unknown","operator","known",""
"HU-R009","aeon-bmw-leipzig","runtime_hours","Runtime hours","No cumulative operating hours","unknown","unknown",""
"HU-R009","aeon-bmw-leipzig","availability","Availability / uptime","No scheduled-time denominator","unknown","unknown",""
"HU-R009","aeon-bmw-leipzig","interventions","Human interventions","Not disclosed","unknown","unknown",""
"HU-R009","aeon-bmw-leipzig","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R009","aeon-bmw-leipzig","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R009","aeon-bmw-leipzig","task_output","Task output","No task count or success rate","unknown","unknown",""
"HU-R009","aeon-bmw-leipzig","energy_operation","Energy / charging","Up to 4 h / auto-swap product claim","claim","known",""
"HU-R009","aeon-bmw-leipzig","autonomy_mode","Autonomy mode","Current autonomy share not disclosed","unknown","unknown",""
"HU-R009","aeon-bmw-leipzig","fleet_size","Fleet size","Not disclosed","unknown","unknown",""
"HU-R010","apollo-mercedes-berlin","runtime_hours","Runtime hours","No cumulative operating hours","unknown","unknown",""
"HU-R010","apollo-mercedes-berlin","availability","Availability / uptime","No scheduled-time denominator","unknown","unknown",""
"HU-R010","apollo-mercedes-berlin","interventions","Human interventions","Human teaching disclosed; intervention rate unknown","operator","known",""
"HU-R010","apollo-mercedes-berlin","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R010","apollo-mercedes-berlin","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R010","apollo-mercedes-berlin","task_output","Task output","No task count or success rate","unknown","unknown",""
"HU-R010","apollo-mercedes-berlin","energy_operation","Energy / charging","No charge/runtime record","unknown","unknown",""
"HU-R010","apollo-mercedes-berlin","autonomy_mode","Autonomy mode","Teleoperation used; autonomy training underway","operator","known",""
"HU-R010","apollo-mercedes-berlin","fleet_size","Fleet size","Multiple robots described; exact count unknown","operator","known",""
"HU-R011","atlas-prototype-hmgma","runtime_hours","Runtime hours","No duration or operating hours","unknown","unknown",""
"HU-R011","atlas-prototype-hmgma","availability","Availability / uptime","No scheduled-time denominator","unknown","unknown",""
"HU-R011","atlas-prototype-hmgma","interventions","Human interventions","Teleoperated training described; pilot intervention rate unknown","manufacturer","known",""
"HU-R011","atlas-prototype-hmgma","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R011","atlas-prototype-hmgma","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R011","atlas-prototype-hmgma","task_output","Task output","Repeated sequencing described; no count or success rate","unknown","unknown",""
"HU-R011","atlas-prototype-hmgma","energy_operation","Energy / charging","Not disclosed for the tested prototype","unknown","unknown",""
"HU-R011","atlas-prototype-hmgma","autonomy_mode","Autonomy mode","Autonomous operation stated; share and protocol unknown","operator","known",""
"HU-R011","atlas-prototype-hmgma","fleet_size","Fleet size","Not disclosed for the 2025 pilot","unknown","unknown",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","runtime_hours","Runtime hours","No test duration or operating hours","unknown","unknown",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","availability","Availability / uptime","No scheduled-time denominator","unknown","unknown",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","interventions","Human interventions","Teleoperation used for training; test interventions unknown","manufacturer","known",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","mtbf","MTBF","Not disclosed","unknown","unknown",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","mttr","MTTR","Not disclosed","unknown","unknown",""
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","task_output","Task output","No ring count, attempts or throughput","unknown","unknown",""
