"coverage_id","manufacturer","model","operator","outcome","record_slug","deployment_signal_ids"
"HU-COV-001","Figure AI","Figure 02","BMW Group","full_record","figure-02-bmw","figure-02-bmw-spartanburg"
"HU-COV-002","Agility Robotics","Digit","GXO","full_record","digit-gxo","digit-gxo-flowery-branch"
"HU-COV-003","Figure AI","Figure 03","BMW Group","full_record","figure-03-bmw","figure-03-bmw-spartanburg"
"HU-COV-004","Unitree Robotics","Unitree G1 EDU-4","Fraunhofer IPA","full_record","unitree-g1-fraunhofer-ipa","unitree-g1-fraunhofer-ipa"
"HU-COV-005","UBTECH Robotics","Walker S2","No operator named","full_record","walker-s2-continuous-operation","walker-s2-continuous-operation"
"HU-COV-006","Humanoid","HMND 01 wheeled Alpha","Siemens","full_record","hmnd-01-siemens-erlangen","hmnd-01-siemens-erlangen"
"HU-COV-007","Sanctuary AI","Sanctuary general-purpose robot","Canadian Tire / Mark's","full_record","sanctuary-canadian-tire","sanctuary-canadian-tire-langley"
"HU-COV-008","Agility Robotics","Digit","Schaeffler","full_record","digit-schaeffler-cheraw","digit-schaeffler-cheraw"
"HU-COV-009","Hexagon Robotics","AEON","BMW Group","full_record","aeon-bmw-leipzig","aeon-bmw-leipzig"
"HU-COV-010","Apptronik","Apollo","Mercedes-Benz","full_record","apollo-mercedes-berlin","apollo-mercedes-berlin"
"HU-COV-011","Agility Robotics","Digit","Toyota Motor Manufacturing Canada","no_qualifying_public_result","",""
"HU-COV-012","Apptronik","Apollo","Jabil","deployment_signal","","apollo-jabil-validation"
"HU-COV-013","Apptronik","Apollo","GXO","deployment_signal","","apollo-gxo-data-collection"
"HU-COV-014","Boston Dynamics","Atlas prototype","Hyundai Motor Group","full_record","atlas-prototype-hmgma","atlas-prototype-hmgma-2025 | atlas-hmgma-2028"
"HU-COV-015","Agility Robotics","Digit","Amazon","deployment_signal","","digit-amazon-seattle-rd"
"HU-COV-016","Tesla","Optimus","Tesla","deployment_signal","","optimus-tesla-internal"
"HU-COV-017","Figure AI","Figure humanoid","Catalyst Brands","deployment_signal","","figure-catalyst-reno"
"HU-COV-018","UBTECH Robotics","Walker S2","Hitachi","deployment_signal","","walker-s2-hitachi-elevator"
"HU-COV-019","UBTECH Robotics","Walker S1","BYD","deployment_signal","","walker-s1-byd"
"HU-COV-020","XPENG","IRON","XPENG","deployment_signal","","xpeng-iron-factory-training"
"HU-COV-021","Agility Robotics","Digit","Mercado Libre","deployment_signal","","digit-mercado-libre-san-antonio"
"HU-COV-022","Sanctuary AI","Phoenix","Magna","deployment_signal","","phoenix-magna-manufacturing"
"HU-COV-023","NEURA Robotics","4NE1","Schaeffler","deployment_signal","","4ne1-schaeffler-roadmap"
"HU-COV-024","Humanoid","Humanoid pre-alpha","Schaeffler","full_record","humanoid-pre-alpha-schaeffler-erlangen","humanoid-pre-alpha-schaeffler-erlangen"
"HU-COV-025","UBTECH Robotics","Walker S","NIO","deployment_signal","","walker-s-nio"
"HU-COV-026","UBTECH Robotics","Walker S1","Geely / Zeekr / Lynk & Co","deployment_signal","","walker-s1-geely"
"HU-COV-027","UBTECH Robotics","Walker S1","Foxconn","deployment_signal","","walker-s1-foxconn"
"HU-COV-028","Persona AI","Persona humanoid","HD Korea Shipbuilding & Offshore Engineering","deployment_signal","","persona-hd-hyundai-welding"
"HU-COV-029","Apptronik","Apollo 2","Google DeepMind / Apptronik Robot Park","deployment_signal","","apollo-2-robot-park-deepmind"
"HU-COV-030","UBTECH Robotics","Walker S2","ROSSMANN / Terra Robotics","full_record","walker-s2-rossmann-burgwedel","walker-s2-rossmann-logistics"
