"record_id","identity_version","lifecycle_status","current_slug","display_title","successor_record_id","status_changed_at","reason","persistent_url","current_record_url"
"HU-R001","1","active","figure-02-bmw","Figure 02 × BMW","","2026-09-03","","https://humanoiduptime.com/id/HU-R001","https://humanoiduptime.com/records/figure-02-bmw/"
"HU-R002","1","active","digit-gxo","Digit × GXO","","2026-09-03","","https://humanoiduptime.com/id/HU-R002","https://humanoiduptime.com/records/digit-gxo/"
"HU-R003","1","active","walker-s2-continuous-operation","Walker S2 — continuous-operation claim","","2026-09-03","","https://humanoiduptime.com/id/HU-R003","https://humanoiduptime.com/records/walker-s2-continuous-operation/"
"HU-R004","1","active","figure-03-bmw","Figure 03 × BMW","","2026-09-03","","https://humanoiduptime.com/id/HU-R004","https://humanoiduptime.com/records/figure-03-bmw/"
"HU-R005","1","active","unitree-g1-fraunhofer-ipa","Unitree G1 EDU-4 × Fraunhofer IPA","","2026-09-03","","https://humanoiduptime.com/id/HU-R005","https://humanoiduptime.com/records/unitree-g1-fraunhofer-ipa/"
"HU-R006","1","active","hmnd-01-siemens-erlangen","HMND 01 Alpha × Siemens","","2026-09-04","","https://humanoiduptime.com/id/HU-R006","https://humanoiduptime.com/records/hmnd-01-siemens-erlangen/"
"HU-R007","1","active","sanctuary-canadian-tire","Unnamed Sanctuary GPR × Canadian Tire / Mark's","","2026-09-04","","https://humanoiduptime.com/id/HU-R007","https://humanoiduptime.com/records/sanctuary-canadian-tire/"
"HU-R008","1","active","digit-schaeffler-cheraw","Digit × Schaeffler","","2026-09-04","","https://humanoiduptime.com/id/HU-R008","https://humanoiduptime.com/records/digit-schaeffler-cheraw/"
"HU-R009","1","active","aeon-bmw-leipzig","AEON × BMW","","2026-09-04","","https://humanoiduptime.com/id/HU-R009","https://humanoiduptime.com/records/aeon-bmw-leipzig/"
"HU-R010","1","active","apollo-mercedes-berlin","Apollo × Mercedes-Benz","","2026-09-04","","https://humanoiduptime.com/id/HU-R010","https://humanoiduptime.com/records/apollo-mercedes-berlin/"
"HU-R011","1","active","atlas-prototype-hmgma","Atlas prototype × Hyundai Motor Group","","2026-09-04","","https://humanoiduptime.com/id/HU-R011","https://humanoiduptime.com/records/atlas-prototype-hmgma/"
"HU-R012","1","active","humanoid-pre-alpha-schaeffler-erlangen","Humanoid pre-alpha robot × Schaeffler","","2026-09-04","","https://humanoiduptime.com/id/HU-R012","https://humanoiduptime.com/records/humanoid-pre-alpha-schaeffler-erlangen/"
"HU-R013","1","active","walker-s2-rossmann-burgwedel","Walker S2 × ROSSMANN","","2026-09-04","","https://humanoiduptime.com/id/HU-R013","https://humanoiduptime.com/records/walker-s2-rossmann-burgwedel/"
